station_id,timestamp_utc,session_id,candidate_id,participant_key,trial,balloon_color,hazard_family,pumps,outcome,trial_earnings,mean_latency_between_pumps
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,1,purple,dynamic,9,collected,2.25,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,2,purple,dynamic,12,collected,3.0,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,3,purple,dynamic,9,exploded,0.0,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,4,purple,dynamic,13,collected,3.25,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,5,purple,dynamic,13,collected,3.25,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,6,purple,dynamic,13,exploded,0.0,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,7,purple,dynamic,11,collected,2.75,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,8,purple,dynamic,13,collected,3.25,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,9,purple,dynamic,12,exploded,0.0,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,10,purple,dynamic,15,collected,3.75,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,11,teal,dynamic,4,collected,1.0,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,12,teal,dynamic,6,exploded,0.0,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,13,teal,dynamic,5,collected,1.25,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,14,teal,dynamic,5,collected,1.25,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,15,teal,dynamic,8,exploded,0.0,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,16,teal,dynamic,5,collected,1.25,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,17,teal,dynamic,5,collected,1.25,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,18,teal,dynamic,7,exploded,0.0,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,19,teal,dynamic,3,collected,0.75,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,20,teal,dynamic,5,collected,1.25,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,21,orange,dynamic,1,exploded,0.0,
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,22,orange,dynamic,3,collected,0.75,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,23,orange,dynamic,2,collected,0.5,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,24,orange,dynamic,2,exploded,0.0,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,25,orange,dynamic,3,collected,0.75,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,26,orange,dynamic,2,collected,0.5,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,27,orange,dynamic,1,exploded,0.0,
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,28,orange,dynamic,3,collected,0.75,300.0
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,29,orange,dynamic,1,collected,0.25,
lab-01,20260302T090100000000Z,sess-clean-1,P-clean-1,lab-01::P-clean-1,30,orange,dynamic,3,exploded,0.0,300.0
lab-01,20260302T090200000000Z,sess-dup-identical,P-dup-identical,lab-01::P-dup-identical,1,purple,dynamic,10,collected,2.5,300.0
lab-01,20260302T090200000000Z,sess-dup-identical,P-dup-identical,lab-01::P-dup-identical,2,purple,dynamic,10,collected,2.5,300.0
lab-01,20260302T090200000000Z,sess-dup-identical,P-dup-identical,lab-01::P-dup-identical,3,purple,dynamic,10,exploded,0.0,300.0
